id,food_code,food_name,energy,water,protein,fat,dietaryfiber,carbohydrate,category
1,1001,アマランサス　玄穀,343,13.5,12.7,6,7.4,64.9,１ 穀類
2,1002,あわ　精白粒,346,13.3,11.2,4.4,3.3,69.7,１ 穀類
3,1003,あわ　あわもち,210,48,5.1,1.3,1.5,45.3,１ 穀類
4,1004,えんばく　オートミール,350,10,13.7,5.7,9.4,69.1,１ 穀類
5,1005,おおむぎ　七分つき押麦,343,14,10.9,2.1,10.3,72.1,１ 穀類
6,1006,おおむぎ　押麦　乾,329,12.7,6.7,1.5,12.2,78.3,１ 穀類
7,1170,おおむぎ　押麦　めし,118,68.6,2.2,0.5,4.2,28.5,１ 穀類
8,1007,おおむぎ　米粒麦,333,14,7,2.1,8.7,76.2,１ 穀類
9,1008,おおむぎ　大麦めん　乾,343,14,12.9,1.7,6.3,68,１ 穀類
10,1009,おおむぎ　大麦めん　ゆで,121,70,4.8,0.6,2.5,24.3,１ 穀類
11,1010,おおむぎ　麦こがし,368,3.5,12.5,5,15.5,77.1,１ 穀類
12,1167,キヌア　玄穀,344,12.2,13.4,3.2,6.2,69,１ 穀類
13,1011,きび　精白粒,353,13.8,11.3,3.3,1.6,70.9,１ 穀類
14,1012,こむぎ　［玄穀］　国産　普通,329,12.5,10.8,3.1,14,72.1,１ 穀類
15,1013,こむぎ　［玄穀］　輸入　軟質,344,10,10.1,3.3,11.2,75.2,１ 穀類
16,1014,こむぎ　［玄穀］　輸入　硬質,332,13,13,3,11.4,69.4,１ 穀類
17,1015,こむぎ　［小麦粉］　薄力粉　1等,349,14,8.3,1.5,2.5,75.8,１ 穀類
18,1016,こむぎ　［小麦粉］　薄力粉　2等,345,14,9.3,1.9,2.6,74.3,１ 穀類
19,1018,こむぎ　［小麦粉］　中力粉　1等,337,14,9,1.6,2.8,75.1,１ 穀類
20,1019,こむぎ　［小麦粉］　中力粉　2等,346,14,9.7,1.8,2.1,74,１ 穀類
21,1020,こむぎ　［小麦粉］　強力粉　1等,337,14.5,11.8,1.5,2.7,71.7,１ 穀類
22,1021,こむぎ　［小麦粉］　強力粉　2等,343,14.5,12.6,1.7,2.1,70.6,１ 穀類
23,1023,こむぎ　［小麦粉］　強力粉　全粒粉,320,14.5,12.8,2.9,11.2,68.2,１ 穀類
24,1146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,9.8,10.1,1.9,2.8,73.6,１ 穀類
25,1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,11.1,7.8,4,1.8,74.4,１ 穀類
26,1147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,8.3,10.2,1.2,2.6,70,１ 穀類
27,1025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,12.4,8.8,1.3,2.5,76.1,１ 穀類
28,1171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,136,65.5,3.3,0.5,1,30.2,１ 穀類
29,1172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,10.2,4.3,47.7,3.3,37,１ 穀類
30,1026,こむぎ　［パン類］　角形食パン　食パン,248,39.2,8.9,4.1,4.2,46.4,１ 穀類
31,1174,こむぎ　［パン類］　角形食パン　焼き,269,33.6,9.7,4.5,4.6,50.6,１ 穀類
32,1175,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,44.2,8.2,3.7,3.8,42.6,１ 穀類
33,1176,こむぎ　［パン類］　角形食パン　耳,273,33.5,9.7,4.5,4.7,50.8,１ 穀類
34,1206,こむぎ　［パン類］　食パン　リーンタイプ,246,39.2,8,3.7,2,47.5,１ 穀類
35,1207,こむぎ　［パン類］　食パン　リッチタイプ,256,39.2,7.8,6,1.7,45.6,１ 穀類
36,1205,こむぎ　［パン類］　山形食パン　食パン,246,39.2,7.8,3.5,1.8,47.9,１ 穀類
37,1028,こむぎ　［パン類］　コッペパン,259,37,8.5,3.8,2,49.1,１ 穀類
38,1030,こむぎ　［パン類］　乾パン,386,5.5,9.5,4.4,3.1,78.8,１ 穀類
39,1031,こむぎ　［パン類］　フランスパン,289,30,9.4,1.3,2.7,57.5,１ 穀類
40,1032,こむぎ　［パン類］　ライ麦パン,252,35,8.4,2.2,5.6,52.7,１ 穀類
41,1208,こむぎ　［パン類］　全粒粉パン,251,39.2,7.9,5.7,4.5,45.5,１ 穀類
42,1033,こむぎ　［パン類］　ぶどうパン,263,35.7,8.2,3.5,2.2,51.1,１ 穀類
43,1034,こむぎ　［パン類］　ロールパン,309,30.7,10.1,9,2,48.6,１ 穀類
44,1209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,20,6.5,20.4,1.9,51.5,１ 穀類
45,1035,こむぎ　［パン類］　クロワッサン　リッチタイプ,438,20,7.9,26.8,1.8,43.9,１ 穀類
46,1210,こむぎ　［パン類］　くるみパン,292,39.2,8.2,12.6,2.4,38.7,１ 穀類
47,1036,こむぎ　［パン類］　イングリッシュマフィン,224,46,8.1,3.6,1.2,40.8,１ 穀類
